Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,IsActive
4751,D,Dc,Tomori,Milan,7,7,0,7,7,0,20,20,1
2724,D,Dc,Buongiorno,Napoli,7,7,0,7,7,0,18,18,1
6672,D,Dc,Idzes,Sassuolo,7,7,0,7,7,0,19,19,1
6642,D,Dc,Coco,Torino,7,7,0,7,7,0,18,18,1
5010,D,Dc,Ismajli,Torino,7,7,0,7,7,0,18,18,1
6485,D,Dd;Dc,Kristensen T.,Udinese,7,7,0,8,8,0,15,17,1
6916,D,B;Ds;E,Ahanor,Atalanta,6,6,0,7,7,0,16,18,1
4887,D,Dd;E,Bellanova,Atalanta,6,6,0,6,6,0,15,15,1
7219,D,Ds;E,Bernasconi,Atalanta,6,6,0,6,6,0,17,17,1
7212,D,Ds;Dc,Heggem,Bologna,6,6,0,7,7,0,15,17,1
4433,D,Dd;E,Zortea,Bologna,6,6,0,6,6,0,19,19,1
6867,D,Ds;E,Valle,Como,6,6,0,6,6,0,18,18,1
7294,D,Ds;Dc,Valdepenas,Fiorentina,6,6,0,7,7,0,18,20,1
7410,D,Ds;Dc,Viery,Fiorentina,6,6,0,7,7,0,19,21,1
4952,D,Dc,Monterisi,Frosinone,6,6,0,6,6,0,14,14,1
6660,D,Dc,Marcandalli,Genoa,6,6,0,6,6,0,13,13,1
4177,D,Dd;Dc,Pavard,Inter,6,6,0,7,7,0,18,20,1
5620,D,Ds;E,Tavares N.,Lazio,6,6,0,6,6,0,17,17,1
2188,D,Dd;Ds;E,Marusic,Lazio,6,6,0,6,6,0,20,23,1
4502,D,Ds;E,Gallo,Lecce,6,6,0,6,6,0,13,13,1
7485,D,Ds;E,Mangas,Monza,6,6,0,6,6,0,15,15,1
6202,D,Dc,Beukema,Napoli,6,6,0,6,6,0,16,16,1
6663,D,Dc,Circati,Parma,6,6,0,6,6,0,18,18,1
6495,D,Dc,Comuzzo,Torino,6,6,0,6,6,0,11,11,1
5555,D,Ds;E,Kamara H.,Udinese,6,6,0,6,6,0,12,12,1
7253,D,Dc,Bella-Kotchap,Venezia,6,6,0,6,6,0,13,13,1
2640,D,Ds;Dc,Kolasinac,Atalanta,5,5,0,6,6,0,12,14,1
7068,D,Dc,Vitik,Bologna,5,5,0,5,5,0,11,11,1
5678,D,Dd;E,Holm,Bologna,5,5,0,5,5,0,13,13,1
7532,D,Dc,Kofler,Cagliari,5,5,0,5,5,0,11,11,1
7274,D,Dd;Dc,Zè Pedro,Cagliari,5,5,0,6,6,0,11,13,1
6893,D,Dc,Kempf,Como,5,5,0,5,5,0,13,13,1
5449,D,Ds;E,Parisi,Fiorentina,5,5,0,5,5,0,12,12,1
7469,D,Ds;Dc,Bracaglia,Frosinone,5,5,0,5,5,0,11,13,1
6238,D,Dd;E,Oyono A.,Frosinone,5,5,0,5,5,0,12,12,1
2593,D,Ds;E,Martin,Genoa,5,5,0,5,5,0,15,15,1
6766,D,Ds;Dc,Kelly L.,Juventus,5,5,0,6,6,0,13,15,1
4817,D,Ds;E,Pedraza,Lazio,5,5,0,5,5,0,15,15,1
6632,D,Dc,Gaspar K.,Lecce,5,5,0,5,5,0,12,12,1
6990,D,Dd;E,Veiga D.,Lecce,5,5,0,5,5,0,11,11,1
5840,D,B;Ds;E,Olivera,Napoli,5,5,0,6,6,0,13,15,1
6986,D,B;Dd;E,Rensch,Roma,5,5,0,6,6,0,16,18,1
6426,D,Dd;E,Pedersen,Torino,5,5,0,5,5,0,13,13,1
6890,D,Dc,Moreno M.,Venezia,5,5,0,5,5,0,11,11,1
5695,D,Ds;E,Haps,Venezia,5,5,0,5,5,0,11,11,1
4461,D,B;Dd;E,Zappa,Cagliari,4,4,0,4,4,0,9,11,1
7014,D,Dd;E,Smolcic I.,Como,4,4,0,4,4,0,10,10,1
5603,D,Dc,Pongracic,Fiorentina,4,4,0,4,4,0,8,8,1
7467,D,Dc,Calvani,Frosinone,4,4,0,4,4,0,10,10,1
7537,D,Ds;E,Mitaj,Genoa,4,4,0,4,4,0,9,9,1
5831,D,Dc,Gatti,Juventus,4,4,0,4,4,0,10,10,1
7240,D,Dc,Siebert,Lecce,4,4,0,4,4,0,12,12,1
2115,D,Dc,Delli Carri,Monza,4,4,0,4,4,0,11,11,1
6659,D,Dc,Lucchesi,Monza,4,4,0,4,4,0,12,12,1
5838,D,Dd;Ds;E,Birindelli,Monza,4,4,0,5,5,0,12,14,1
5307,D,Dc,Valenti,Parma,4,4,0,4,4,0,10,10,1
6631,D,Dc,Ghilardi,Roma,4,4,0,4,4,0,10,10,1
4374,D,Dd;Dc,Walukiewicz,Sassuolo,4,4,0,4,4,0,10,12,1
5851,D,Ds;E,Doig,Sassuolo,4,4,0,4,4,0,13,13,1
7526,D,Dc,Comert,Torino,4,4,0,4,4,0,10,10,1
4263,D,Dc,Kabasele,Udinese,4,4,0,4,4,0,9,9,1
5820,D,Dd;Ds;Dc,Bertola,Udinese,4,4,0,6,6,0,10,14,1
5527,D,Dd;E,Zanoli,Udinese,4,4,0,4,4,0,10,10,1
7312,D,Ds;E,Arizala,Udinese,4,4,0,4,4,0,8,8,1
7538,D,Dc,Halhal,Venezia,4,4,0,4,4,0,10,10,1
4845,D,Dd;E,Correia T.,Venezia,4,4,0,4,4,0,12,12,1
5578,D,Dd;Dc,Kossounou,Atalanta,3,3,0,3,3,0,7,8,1
5498,D,Dc,Casale,Bologna,3,3,0,3,3,0,6,6,1
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,3,3,0,4,4,0,10,12,1
7125,D,Ds;E,Idrissi R.,Cagliari,3,3,0,3,3,0,7,7,1
4378,D,Ds;Dc,Ranieri L.,Fiorentina,3,3,0,3,3,0,7,7,1
7175,D,Dd;E,Joao Mario,Fiorentina,3,3,0,3,3,0,7,7,1
7540,D,Dc,Akpoguma,Frosinone,3,3,0,3,3,0,7,7,1
5757,D,Dc,Cittadini,Frosinone,3,3,0,3,3,0,8,8,1
7012,D,Dc,Provstgaard,Lazio,3,3,0,3,3,0,10,10,1
7131,D,Dd;E,Floriani Mussolini,Lazio,3,3,0,3,3,0,12,12,1
5739,D,Dd;Dc,De Winter,Milan,3,3,0,4,4,0,12,14,1
7211,D,Dd;E,Athekame,Milan,3,3,0,3,3,0,8,8,1
5273,D,Ds;E,Estupinan,Milan,3,3,0,3,3,0,9,9,1
7238,D,Dd;Dc,Kouadio,Monza,3,3,0,3,3,0,9,10,1
4925,D,Ds;Dc,Carboni A.,Monza,3,3,0,4,4,0,9,11,1
7235,D,Dc,Troilo,Parma,3,3,0,3,3,0,8,8,1
7255,D,Dd;Ds;E,Britschgi,Parma,3,3,0,4,4,0,10,12,1
6985,D,Ds;Dc,Candè,Sassuolo,3,3,0,3,3,0,12,14,1
6892,D,Dc,Schingtienne,Venezia,3,3,0,3,3,0,7,7,1
6673,D,Ds;Dc,Sverko,Venezia,3,3,0,3,3,0,7,7,1
6821,D,Dd;E,Hainaut,Venezia,3,3,0,3,3,0,7,7,1
7326,D,Dd;Dc,Helland,Bologna,2,2,0,2,2,0,5,5,1
7483,D,Ds;E,Alhassane,Bologna,2,2,0,2,2,0,6,6,1
6896,D,Dd;E,Van Der Brempt,Como,2,2,0,2,2,0,5,5,1
6977,D,Dc,Otoa,Genoa,2,2,0,2,2,0,5,5,1
7413,D,Ds;E,Puczka,Genoa,2,2,0,2,2,0,7,7,1
791,D,Dd;Ds;E,Sabelli,Genoa,2,2,0,2,2,0,5,5,1
2263,D,Dd;E,Lazzari,Lazio,2,2,0,2,2,0,8,8,1
2728,D,Ds;E,Pellegrini Lu.,Lazio,2,2,0,2,2,0,5,5,1
6883,D,Dc,Jean,Lecce,2,2,0,2,2,0,4,4,1
7525,D,Ds;Dc,Diawara S.,Milan,2,2,0,2,2,0,4,4,1
6638,D,Dc,Marin R.,Napoli,2,2,0,2,2,0,6,6,1
252,D,B;Ds;E,Biraghi,Torino,2,2,0,2,2,0,5,6,1
6925,D,Dc,Palma,Udinese,2,2,0,2,2,0,5,5,1
5994,D,Ds;Dc,Ebosse,Udinese,2,2,0,2,2,0,4,4,1
7478,D,B;Ds;E,Franjic,Venezia,2,2,0,2,2,0,4,4,1
6681,D,Dd;E,Sagrado,Venezia,2,2,0,2,2,0,4,4,1
7548,D,Ds;E,Aurelio,Cagliari,2,2,0,2,2,0,5,5,1
487,D,Dd;E,De Silvestri,Bologna,1,1,0,1,1,0,4,4,1
7346,D,Dd;E,Raterink,Cagliari,1,1,0,1,1,0,1,1,1
418,D,Dc,Goldaniga,Como,1,1,0,1,1,0,1,1,1
7407,D,Ds;Dc,Cuenca A.,Como,1,1,0,1,1,0,8,8,1
5424,D,Dc,Amey,Frosinone,1,1,0,1,1,0,1,1,1
7468,D,Dc,Gelli J.,Frosinone,1,1,0,1,1,0,1,1,1
7470,D,Dd;E,Oyono J.,Frosinone,1,1,0,1,1,0,3,3,1
7471,D,Ds;E,Corrado,Frosinone,1,1,0,1,1,0,3,3,1
6244,D,Ds;Dc,Matturro,Genoa,1,1,0,1,1,0,2,2,1
294,D,Dc,Rugani,Juventus,1,1,0,1,1,0,3,3,1
6039,D,B;Ds;E,Cabal,Juventus,1,1,0,1,1,0,4,4,1
327,D,Dd;Dc,Patric,Lazio,1,1,0,1,1,0,4,4,1
7164,D,Dd;Dc,Perez M.,Lecce,1,1,0,1,1,0,1,1,1
7182,D,Ds;E,Ndaba,Lecce,1,1,0,1,1,0,4,4,1
5399,D,Dc,Antov,Monza,1,1,0,1,1,0,2,2,1
7476,D,Dd;E,Bakoune,Monza,1,1,0,1,1,0,4,4,1
6809,D,Dc,Marianucci,Napoli,1,1,0,1,1,0,5,5,1
5481,D,Dd;Ds;E,Mazzocchi,Napoli,1,1,0,1,1,0,3,3,1
7202,D,Dc,Ndiaye,Parma,1,1,0,1,1,0,4,4,1
6149,D,Ds;E,Carboni F.,Parma,1,1,0,1,1,0,3,3,1
7260,D,Dc,Ziolkowski,Roma,1,1,0,1,1,0,2,2,1
6189,D,Dd;E,Missori,Sassuolo,1,1,0,1,1,0,2,2,1
7156,D,Ds;E,Pieragnolo,Sassuolo,1,1,0,1,1,0,1,1,1
7356,D,Dc,Mlacic,Udinese,1,1,0,1,1,0,3,3,1
6021,D,Dd;Dc,Abankwah,Udinese,1,1,0,1,1,0,3,3,1
7454,D,Ds;Dc,Gomes,Venezia,1,1,0,1,1,0,1,1,1
6875,C,T;A,Paz N.,Como,30,30,0,28,28,0,250,250,1
4777,C,C;T,McTominay,Napoli,28,28,0,28,28,0,240,240,1
2194,C,M;C,Calhanoglu,Inter,27,27,0,28,28,0,230,260,1
2167,C,W;A,Orsolini,Bologna,26,26,0,25,25,0,200,200,1
2423,C,T;A,Pulisic,Milan,25,25,0,23,23,0,180,180,1
2379,C,C;T,Rabiot,Milan,22,22,0,22,22,0,128,128,1
7126,C,T,Baturina,Como,19,19,0,18,18,0,102,100,1
5559,C,C;T,Da Cunha,Como,18,18,0,18,18,0,90,90,1
2766,C,T;A,Zaniolo,Udinese,18,18,0,17,17,0,100,100,1
6908,C,C;T,Atta,Fiorentina,17,17,0,17,17,0,87,87,1
1870,C,C,Barella,Inter,17,17,0,17,17,0,80,80,1
4973,C,C,McKennie,Juventus,17,17,0,17,17,0,68,68,1
632,C,W;A,Zaccagni,Lazio,16,16,0,15,15,0,91,88,1
2517,C,T,De Bruyne,Napoli,15,15,0,14,14,0,98,95,1
5687,C,T,Vlasic,Torino,14,14,0,13,13,0,80,77,1
5800,C,T;A,Gudmundsson A.,Fiorentina,13,13,0,12,12,0,61,58,1
7314,C,C;T,Taylor K.,Lazio,13,13,0,13,13,0,64,64,1
5792,C,M;C,Ederson D.S.,Atalanta,12,12,0,13,13,0,45,48,1
5119,C,C;T,Samardzic,Atalanta,12,12,0,12,12,0,42,42,1
7129,C,W;A,Rodriguez Je.,Como,12,12,0,11,11,0,32,31,1
7436,C,W;T,Alajbegovic,Juventus,12,12,0,12,12,0,56,56,1
6884,C,W;A,Conceicao,Juventus,12,12,0,11,11,0,60,60,1
2606,C,M;C,Modric,Milan,12,12,0,13,13,0,50,60,1
7078,C,W;T,Mastantuono,Fiorentina,12,12,0,12,12,0,58,58,1
6844,C,W;T,Rowe,Bologna,11,11,0,11,11,0,37,40,1
5823,C,T,Baldanzi,Genoa,11,11,0,10,10,0,30,27,1
4220,C,C,Zambo Anguissa,Napoli,11,11,0,11,11,0,54,54,1
6151,C,M;C,Perrone,Como,10,10,0,11,11,0,38,41,1
152,C,C,Zielinski,Inter,10,10,0,10,10,0,41,41,1
5562,C,C,Thuram K.,Juventus,10,10,0,10,10,0,41,41,1
4892,C,E;W,Saelemaekers,Milan,10,10,0,11,11,0,43,45,1
536,C,W,Politano,Napoli,10,10,0,9,9,0,47,43,1
5589,C,M;C,Konè M.,Roma,10,10,0,11,11,0,42,45,1
5844,C,C;T,Thorstvedt,Sassuolo,10,10,0,10,10,0,41,41,1
5888,C,C;T,Casadei,Torino,10,10,0,10,10,0,37,37,1
6684,C,C;T,Ekkelenkamp,Udinese,10,10,0,10,10,0,41,41,1
530,C,C;T,Pellegrini Lo.,Roma,10,10,0,10,10,0,28,28,1
2077,C,C;T,Pasalic,Atalanta,9,9,0,9,9,0,32,32,1
184,C,W;T,Bernardeschi,Bologna,9,9,0,9,9,0,21,21,1
1933,C,C,Mandragora,Fiorentina,9,9,0,9,9,0,28,28,1
5500,C,W;A,Cancellieri,Lazio,9,9,0,8,8,0,28,26,1
6398,C,W;A,Isaksen,Lazio,9,9,0,8,8,0,25,23,1
6717,C,C,Konè I.,Sassuolo,9,9,0,9,9,0,20,20,1
2765,C,T,Odgaard,Bologna,8,8,0,7,7,0,22,20,1
4436,C,W;A,Cambiaghi,Bologna,8,8,0,7,7,0,25,25,1
4465,C,M;C,Fagioli,Fiorentina,8,8,0,9,9,0,23,25,1
6294,C,C,Ndour,Fiorentina,8,8,0,8,8,0,25,25,1
6274,C,E;C,Diouf,Inter,8,8,0,9,9,0,37,40,1
7070,C,C,Sucic P.,Inter,8,8,0,8,8,0,26,26,1
827,C,M;C,Locatelli,Juventus,8,8,0,9,9,0,32,35,1
5878,C,T,Colpani,Monza,8,8,0,7,7,0,25,22,1
7223,C,W;T,Vergara,Napoli,8,8,0,8,8,0,34,34,1
779,C,M;C,Cristante,Roma,8,8,0,9,9,0,29,32,1
4364,C,M;C,Gaetano,Atalanta,7,7,0,8,8,0,24,27,1
5858,C,M;C,Ferguson,Bologna,7,7,0,8,8,0,18,21,1
6010,C,C;T,Fazzini,Cagliari,7,7,0,8,8,0,19,21,1
7472,C,M;C,Calò,Frosinone,7,7,0,8,8,0,25,28,1
5791,C,M;C,Frendrup,Genoa,7,7,0,8,8,0,19,21,1
2848,C,C;T,Frattesi,Inter,7,7,0,7,7,0,13,13,1
2741,C,M;C,Pessina,Monza,7,7,0,8,8,0,20,22,1
4287,C,M;C,Lobotka,Napoli,7,7,0,8,8,0,20,22,1
6666,C,C,Bernabè,Parma,7,7,0,7,7,0,36,36,1
5735,C,W;T,Volpato,Sassuolo,7,7,0,7,7,0,23,23,1
6218,C,W;T,Oristanio,Torino,7,7,0,7,7,0,27,27,1
6783,C,T,Unai Gomez,Udinese,7,7,0,6,6,0,23,20,1
5946,C,M;C,Sow,Genoa,7,7,0,8,8,0,14,17,1
5422,C,W,Zalewski,Atalanta,6,6,0,5,5,0,21,19,1
5298,C,M;C,Pobega,Bologna,6,6,0,7,7,0,14,17,1
4870,C,M;C,Adopo,Cagliari,6,6,0,7,7,0,13,16,1
4260,C,M;C,Winks,Cagliari,6,6,0,7,7,0,14,17,1
5036,C,C;T,Caqueret,Como,6,6,0,6,6,0,20,20,1
6678,C,T,Liberali,Como,6,6,0,5,5,0,22,20,1
7464,C,M;C,Oulai,Fiorentina,6,6,0,7,7,0,20,22,1
6020,C,E;C,Ellertsson,Genoa,6,6,0,7,7,0,18,21,1
5761,C,W,Zhegrova,Juventus,6,6,0,5,5,0,18,16,1
4459,C,M;C,Rovella,Lazio,6,6,0,7,7,0,16,19,1
5504,C,M;C,Coulibaly L.,Lecce,6,6,0,7,7,0,14,16,1
6549,C,W,Pierotti,Lecce,6,6,0,5,5,0,19,17,1
4856,C,W,Chukwueze,Milan,6,6,0,5,5,0,11,9,1
6593,C,C,Akinsanmiro,Monza,6,6,0,6,6,0,16,16,1
4349,C,M;C,Nicolussi Caviglia,Parma,6,6,0,7,7,0,18,20,1
6680,C,M;C,Karlstrom,Udinese,6,6,0,7,7,0,20,23,1
5674,C,M;C,Basic,Venezia,6,6,0,7,7,0,19,20,1
7528,C,M;C,Amondarain,Bologna,5,5,0,6,6,0,12,14,1
7311,C,M;C,Romano,Cagliari,5,5,0,6,6,0,12,15,1
6640,C,W,Felici,Cagliari,5,5,0,4,4,0,10,8,1
7412,C,M;C,Milla,Como,5,5,0,5,5,0,14,16,1
7127,C,W;A,Addai,Como,5,5,0,4,4,0,10,8,1
5998,C,W,Zerbin,Frosinone,5,5,0,4,4,0,13,11,1
7409,C,W;T,Meichtry,Genoa,5,5,0,5,5,0,14,14,1
2857,C,W;T,Traorè Hj.,Genoa,5,5,0,5,5,0,11,11,1
2529,C,C,Mkhitaryan,Inter,5,5,0,5,5,0,19,19,1
5685,C,C;T,Koopmeiners,Juventus,5,5,0,5,5,0,14,14,1
6629,C,C;T,Dele-Bashiru,Lazio,5,5,0,5,5,0,13,13,1
6015,C,C;T,Berisha M.,Lecce,5,5,0,5,5,0,16,16,1
7318,C,C;T,Gandelman,Lecce,5,5,0,5,5,0,14,14,1
4686,C,M;C,Fofana Y.,Milan,5,5,0,6,6,0,23,26,1
6898,C,M;C,Keita M.,Parma,5,5,0,6,6,0,15,17,1
6984,C,W;A,Ondrejka,Parma,5,5,0,4,4,0,18,16,1
6190,C,C,Pisilli,Roma,5,5,0,5,5,0,17,17,1
2528,C,M;C,Matic,Sassuolo,5,5,0,6,6,0,15,17,1
6677,C,C;T,Adzic,Sassuolo,5,5,0,5,5,0,14,14,1
7036,C,C;T,Bakola,Sassuolo,5,5,0,5,5,0,16,16,1
7060,C,E;W,Cacciamani,Torino,5,5,0,6,6,0,18,20,1
6170,C,M;C,Gineitis,Torino,5,5,0,6,6,0,13,15,1
7198,C,M;C,Piotrowski,Udinese,5,5,0,6,6,0,15,17,1
5507,C,M;C,Busio,Venezia,5,5,0,6,6,0,14,17,1
5319,C,C,Sohm,Venezia,5,5,0,5,5,0,14,14,1
6994,C,C;T,Perez K.,Venezia,5,5,0,5,5,0,14,14,1
22,C,M;C,De Roon,Atalanta,4,4,0,5,5,0,12,14,1
6054,C,M;C,Moro N.,Bologna,4,4,0,4,4,0,10,12,1
6424,C,M;C,Prati,Cagliari,4,4,0,4,4,0,7,7,1
6206,C,C;T,Fabbian,Fiorentina,4,4,0,4,4,0,8,8,1
7473,C,M;C,Cichella,Frosinone,4,4,0,4,4,0,11,13,1
7474,C,C,Koutsoupias,Frosinone,4,4,0,4,4,0,12,12,1
7341,C,M;C,Amorim,Genoa,4,4,0,5,5,0,11,13,1
5301,C,E;W,Luis Henrique,Inter,4,4,0,5,5,0,13,15,1
4911,C,C,Douglas Luiz,Juventus,4,4,0,4,4,0,12,12,1
333,C,M;C,Cataldi,Lazio,4,4,0,5,5,0,12,15,1
7322,C,M;C,Ngom,Lecce,4,4,0,5,5,0,11,13,1
5453,C,M;C,Ricci S.,Milan,4,4,0,4,4,0,11,13,1
7203,C,C,Jashari,Milan,4,4,0,4,4,0,11,11,1
4199,C,C;T,Loftus-Cheek,Milan,4,4,0,4,4,0,11,11,1
6252,C,C;T,Folorunsho,Napoli,4,4,0,4,4,0,10,10,1
